call_id,rep_id,hcp_id,call_date,channel
327.0,3,103,12/24/2025,virtual
455.0,20,137,2025-08-03,in-person
508.0,3,158,07/22/2025,in-person
504.0,19,157,,in-person
462.0,18,141,2025-01-17,virtual
223.0,8,67,2025-08-08,virtual
3.0,6,1,2025-11-27,virtual
126.0,18,43,2025-04-10,in-person
293.0,12,91,04/07/2025,virtual
332.0,14,105,2025-07-10,virtual
329.0,11,104,2025-01-18,in-person
298.0,4,92,2025-05-22,email
426.0,11,126,02/20/2025,in-person
100.0,3,34,2025-07-25,in-person
155.0,3,54,2025-04-21,in-person
354.0,6,109,2025-08-17,in-person
325.0,19,102,2025-05-22,email
192.0,12,60,2025-01-05,in-person
502.0,15,156,2025-05-17,virtual
7.0,6,1,2025-03-20,in-person
513.0,18,160,2025-01-24,in-person
20.0,3,4,05/14/2025,virtual
634.0,16,192,2025-04-04,virtual
181.0,15,59,2025-11-12,virtual
54.0,11,13,2025-11-05,
16.0,11,2,09/20/2025,in-person
386.0,16,118,08/19/2025,in-person
127.0,18,43,2025-06-18,in-person
592.0,1,180,2025-07-17,virtual
217.0,15,66,2025-03-23,in-person
473.0,3,145,2025-06-22,virtual
91.0,3,32,2025-10-26,in-person
263.0,20,81,2025-06-15,email
369.0,11,114,2025-11-11,in-person
378.0,20,116,2025-11-25,in-person
399.0,19,121,2025-01-16,virtual
614.0,9,185,2025-08-22,virtual
269.0,3,83,2025-02-09,virtual
1.0,6,1,05/12/2025,virtual
323.0,4,101,2025-06-11,in-person
435.0,1,130,2025-04-15,in-person
205.0,10,64,2025-09-23,in-person
156.0,3,54,2025-07-09,virtual
84.0,3,32,2025-12-19,virtual
447.0,16,134,2025-02-14,in-person
175.0,3,57,2025-12-10,virtual
24.0,3,6,2025-01-10,in-person
515.0,1,162,2025-02-20,in-person
203.0,10,64,2025-03-13,in-person
347.0,4,108,2025-04-25,email
562.0,3,175,2025-06-15,in-person
431.0,10,129,2025-12-25,virtual
488.0,14,153,07/11/2025,email
501.0,15,156,2025-07-21,in-person
108.0,15,36,2025-06-09,email
546.0,3,170,2025-10-06,virtual
414.0,11,125,2025-12-27,in-person
,11,100,2025-09-14,in-person
,4,90,2025-12-01,in-person
93.0,5,33,2025-01-17,virtual
524.0,15,164,2025-02-26,in-person
481.0,3,149,08/02/2025,
436.0,1,130,2025-06-10,virtual
379.0,20,116,,
396.0,5,120,2025-01-17,in-person
239.0,3,71,2025-10-14,virtual
201.0,18,62,2025-10-10,virtual
144.0,16,49,2025-05-19,virtual
118.0,3,40,2025-06-23,in-person
267.0,3,82,2025-07-13,in-person
244.0,19,72,2025-07-09,in-person
234.0,2,70,2025-10-19,in-person
328.0,3,103,2025-11-26,in-person
183.0,15,59,2025-08-25,in-person
662.0,15,199,2025-07-25,in-person
636.0,16,192,2025-02-18,email
112.0,3,37,2025-01-16,virtual
51.0,11,13,2025-08-11,email
213.0,6,65,2025-03-04,email
385.0,16,118,11/25/2025,virtual
86.0,3,32,2025-03-23,
102.0,3,35,,
168.0,12,55,2025-07-09,virtual
202.0,3,63,2025-10-22,in-person
545.0,3,169,2025-05-17,virtual
380.0,20,116,2025-09-21,virtual
631.0,16,191,2025-11-24,virtual
176.0,3,57,2025-08-13,virtual
,1,131,2025-03-27,in-person
196.0,18,62,2025-09-03,in-person
301.0,4,92,2025-11-19,in-person
422.0,11,126,2025-06-04,virtual
367.0,11,114,2025-01-14,in-person
304.0,19,93,2025-01-03,in-person
467.0,10,142,,virtual
114.0,11,38,2025-01-03,in-person
654.0,3,196,2025-04-23,in-person
,11,99,05/17/2025,virtual
,4,92,2025-03-05,in-person
585.0,11,178,2025-10-07,virtual
272.0,20,84,2025-04-20,email
363.0,5,113,2025-03-23,in-person
317.0,11,99,2025-09-04,
,17,88,2025-06-21,in-person
22.0,3,4,2025-03-06,virtual
550.0,14,172,2025-01-21,in-person
460.0,16,140,2025-10-03,in-person
434.0,10,129,2025-05-26,virtual
305.0,13,94,2025-06-04,in-person
599.0,17,181,2025-07-26,
343.0,3,107,2025-04-03,in-person
594.0,1,180,2025-05-19,in-person
615.0,9,185,2025-09-23,in-person
586.0,11,178,2025-04-13,virtual
505.0,19,157,2025-01-05,in-person
541.0,8,168,2025-04-28,in-person
582.0,11,178,2025-05-13,in-person
10.0,6,1,2025-02-17,in-person
442.0,18,132,,email
90.0,3,32,2025-01-28,virtual
570.0,3,176,2025-04-13,
590.0,19,179,2025-03-17,in-person
663.0,15,199,2025-04-11,in-person
523.0,15,164,2025-12-23,virtual
362.0,3,112,,in-person
368.0,11,114,2025-12-13,in-person
456.0,14,139,04/14/2025,in-person
393.0,5,120,2025-05-10,in-person
565.0,3,175,2025-02-14,in-person
56.0,16,18,2025-09-07,virtual
437.0,1,130,2025-10-17,virtual
470.0,10,144,2025-08-21,in-person
378.0,20,116,2025-11-25,in-person
536.0,8,168,2025-09-27,in-person
76.0,3,25,2025-12-12,in-person
73.0,16,24,,email
245.0,19,72,2025-10-28,virtual
350.0,4,108,10/25/2025,virtual
60.0,2,19,2025-10-13,
21.0,3,4,2025-09-13,virtual
381.0,20,116,2025-10-08,in-person
591.0,19,179,10/20/2025,in-person
576.0,11,177,2025-05-09,virtual
660.0,12,198,2025-07-16,in-person
601.0,17,181,2025-09-24,
580.0,11,178,2025-06-22,virtual
152.0,11,53,2025-12-22,in-person
577.0,11,177,2025-09-25,in-person
300.0,4,92,10/26/2025,virtual
140.0,13,48,04/20/2025,in-person
289.0,4,90,2025-02-22,in-person
336.0,3,107,2025-06-20,email
448.0,16,134,2025-04-17,in-person
440.0,18,132,03/12/2025,virtual
67.0,11,22,2025-03-01,email
157.0,3,54,2025-02-03,in-person
400.0,19,121,2025-08-02,in-person
,3,189,2025-09-10,in-person
613.0,9,185,2025-03-25,email
527.0,9,165,2025-03-19,in-person
119.0,3,40,2025-08-10,in-person
6.0,6,1,2025-08-09,in-person
206.0,10,64,2025-11-13,in-person
68.0,11,22,10/19/2025,virtual
,12,198,2025-10-06,email
179.0,3,58,2025-08-13,email
190.0,12,60,2025-03-04,in-person
549.0,11,171,2025-10-02,virtual
533.0,3,167,2025-07-21,in-person
,3,37,05/14/2025,
307.0,13,94,2025-10-02,
425.0,11,126,09/11/2025,email
143.0,13,48,2025-07-19,
302.0,19,93,2025-03-05,virtual
618.0,9,185,2025-11-10,in-person
253.0,19,74,2025-05-25,virtual
437.0,1,130,2025-10-17,virtual
648.0,11,195,,in-person
241.0,3,71,2025-01-07,email
104.0,3,35,2025-06-22,in-person
23.0,3,4,2025-04-10,in-person
19.0,11,3,2025-09-11,in-person
259.0,11,77,,virtual
373.0,11,114,2025-05-04,in-person
117.0,3,40,2025-10-18,in-person
650.0,11,195,2025-04-16,email
405.0,11,123,03/11/2025,virtual
538.0,8,168,10/06/2025,in-person
174.0,10,56,2025-02-06,in-person
207.0,10,64,2025-06-25,in-person
397.0,19,121,2025-10-26,virtual
475.0,16,146,06/12/2025,virtual
652.0,3,196,08/11/2025,in-person
635.0,16,192,2025-01-05,in-person
532.0,3,167,2025-09-05,
339.0,3,107,,virtual
290.0,4,90,2025-08-21,virtual
404.0,11,123,,in-person
423.0,11,126,2025-08-18,virtual
270.0,3,83,2025-08-27,virtual
226.0,8,67,2025-05-28,in-person
218.0,15,66,2025-07-03,email
138.0,11,47,,email
277.0,19,85,2025-08-02,email
553.0,14,172,2025-05-21,virtual
362.0,3,112,,in-person
219.0,15,66,2025-10-28,virtual
358.0,3,112,2025-05-10,email
149.0,11,52,2025-03-23,virtual
495.0,8,155,2025-02-15,virtual
517.0,1,162,2025-11-05,email
242.0,3,71,2025-04-28,in-person
15.0,11,2,2025-07-22,email
632.0,16,191,2025-09-08,in-person
271.0,3,83,2025-06-12,in-person
,16,18,2025-08-13,email
125.0,10,42,2025-02-27,in-person
665.0,11,200,2025-05-12,virtual
571.0,3,176,2025-03-08,in-person
645.0,11,195,2025-07-10,email
351.0,6,109,2025-11-22,in-person
145.0,11,50,2025-10-24,in-person
280.0,3,87,2025-08-14,virtual
,3,8,04/14/2025,email
637.0,16,192,2025-07-06,in-person
596.0,17,181,2025-06-28,virtual
407.0,11,123,2025-12-21,in-person
164.0,12,55,2025-12-08,email
382.0,20,116,2025-04-09,in-person
,14,172,2025-02-19,in-person
383.0,13,117,2025-10-25,virtual
,11,114,2025-08-20,in-person
261.0,15,78,2025-09-27,in-person
649.0,11,195,2025-08-21,virtual
509.0,3,158,2025-10-12,in-person
173.0,10,56,2025-05-22,in-person
666.0,11,200,11/02/2025,virtual
353.0,6,109,2025-05-09,in-person
264.0,20,81,2025-02-05,virtual
160.0,12,55,2025-05-15,in-person
453.0,15,136,2025-01-27,in-person
374.0,11,114,2025-04-19,
321.0,4,101,2025-04-27,in-person
165.0,12,55,2025-06-27,email
364.0,5,113,,virtual
377.0,12,115,2025-06-06,in-person
41.0,7,10,2025-09-28,in-person
482.0,3,149,01/10/2025,virtual
162.0,12,55,2025-02-24,in-person
105.0,3,35,04/01/2025,
658.0,12,198,2025-03-13,virtual
653.0,3,196,2025-05-15,virtual
319.0,11,100,2025-11-24,email
52.0,11,13,04/03/2025,in-person
170.0,10,56,2025-08-27,in-person
187.0,15,59,2025-05-01,email
166.0,12,55,2025-04-19,email
623.0,3,189,2025-05-13,email
600.0,17,181,2025-05-19,
555.0,11,173,2025-05-23,in-person
286.0,17,88,2025-04-12,virtual
,3,107,2025-11-19,virtual
,19,121,2025-09-07,in-person
589.0,11,178,2025-12-16,virtual
612.0,11,184,2025-11-13,in-person
406.0,11,123,2025-06-02,
12.0,11,2,2025-04-24,email
485.0,3,150,2025-11-07,in-person
282.0,3,87,2025-09-14,email
109.0,3,37,2025-12-03,in-person
617.0,9,185,2025-10-08,in-person
295.0,12,91,2025-11-11,virtual
65.0,16,21,2025-04-26,in-person
63.0,16,21,2025-09-16,in-person
661.0,12,198,2025-09-08,in-person
147.0,11,52,2025-11-18,in-person
661.0,12,198,2025-09-08,in-person
198.0,18,62,2025-07-11,email
606.0,11,184,2025-04-17,virtual
,16,18,2025-08-13,email
643.0,11,193,,email
193.0,10,61,2025-12-23,in-person
324.0,19,102,2025-11-12,email
130.0,8,44,2025-05-21,email
,11,13,12/08/2025,in-person
341.0,3,107,2025-08-06,
451.0,15,136,2025-06-11,virtual
252.0,19,74,2025-10-22,virtual
,3,37,2025-04-16,in-person
372.0,11,114,2025-03-03,in-person
132.0,11,47,2025-10-02,in-person
479.0,11,148,2025-03-26,in-person
215.0,15,66,2025-08-16,
619.0,3,186,2025-05-23,in-person
151.0,11,52,2025-10-10,virtual
47.0,3,12,2025-07-15,in-person
13.0,11,2,2025-05-24,virtual
266.0,3,82,2025-11-12,in-person
352.0,6,109,2025-02-20,in-person
29.0,4,7,2025-10-22,in-person
500.0,15,156,2025-10-02,in-person
254.0,16,76,2025-03-26,in-person
247.0,19,72,2025-05-20,virtual
487.0,8,152,2025-05-04,virtual
178.0,3,58,2025-01-04,email
349.0,4,108,2025-11-02,in-person
431.0,10,129,2025-12-25,virtual
146.0,7,51,2025-04-21,in-person
387.0,16,118,2025-12-19,virtual
62.0,16,21,2025-07-08,in-person
87.0,3,32,2025-05-19,virtual
335.0,9,106,2025-04-08,
191.0,12,60,2025-05-04,virtual
403.0,11,122,2025-09-15,virtual
490.0,14,153,2025-08-12,email
337.0,3,107,2025-09-27,virtual
652.0,3,196,08/11/2025,in-person
211.0,6,65,2025-11-02,in-person
568.0,3,176,2025-10-16,
603.0,17,183,2025-11-24,virtual
484.0,3,149,2025-04-09,
265.0,3,82,2025-04-28,virtual
8.0,6,1,2025-06-24,virtual
69.0,11,22,2025-09-01,in-person
409.0,11,124,2025-11-11,in-person
186.0,15,59,2025-02-23,in-person
639.0,16,192,08/07/2025,virtual
184.0,15,59,2025-07-09,virtual
296.0,12,91,2025-02-26,email
95.0,5,33,2025-09-27,in-person
250.0,19,72,2025-01-08,virtual
326.0,3,103,2025-02-03,in-person
609.0,11,184,2025-08-23,in-person
334.0,9,106,2025-09-05,virtual
308.0,16,95,2025-11-17,in-person
575.0,11,177,2025-08-14,in-person
420.0,11,125,2025-03-10,in-person
564.0,3,175,2025-10-13,email
534.0,3,167,2025-11-15,virtual
470.0,10,144,2025-08-21,in-person
647.0,11,195,2025-01-20,in-person
540.0,8,168,2025-12-17,email
288.0,16,89,2025-07-09,in-person
480.0,3,149,2025-12-02,virtual
478.0,6,147,2025-08-23,in-person
450.0,15,136,2025-02-27,virtual
276.0,19,85,2025-11-14,in-person
389.0,11,119,2025-06-15,virtual
243.0,19,72,04/27/2025,virtual
472.0,3,145,2025-01-12,in-person
194.0,10,61,2025-05-27,in-person
228.0,10,68,2025-05-10,in-person
554.0,11,173,11/10/2025,in-person
467.0,10,142,,virtual
573.0,3,176,2025-05-10,in-person
92.0,5,33,2025-10-22,in-person
212.0,6,65,2025-12-19,in-person
153.0,11,53,2025-08-09,virtual
224.0,8,67,2025-09-14,email
412.0,11,124,2025-10-21,virtual
348.0,4,108,2025-07-20,in-person
543.0,8,168,2025-01-18,in-person
579.0,11,177,2025-02-19,virtual
235.0,3,71,08/10/2025,virtual
122.0,5,41,2025-02-16,in-person
419.0,11,125,2025-06-12,in-person
507.0,3,158,2025-06-02,virtual
11.0,11,2,2025-10-26,virtual
630.0,16,191,2025-04-05,in-person
651.0,11,195,2025-02-05,email
459.0,14,139,2025-10-14,virtual
521.0,15,164,2025-06-10,email
366.0,11,114,2025-07-13,virtual
309.0,8,97,2025-11-02,email
557.0,11,173,2025-04-15,in-person
416.0,11,125,2025-05-24,email
548.0,3,170,03/11/2025,virtual
607.0,11,184,2025-01-16,email
,15,66,2025-11-18,in-person
258.0,16,76,2025-05-14,in-person
519.0,1,162,2025-04-23,in-person
93.0,5,33,2025-01-17,virtual
32.0,3,8,2025-06-16,virtual
128.0,18,43,2025-03-02,email
315.0,11,99,2025-03-17,in-person
424.0,11,126,2025-12-17,in-person
520.0,3,163,2025-02-26,virtual
195.0,10,61,2025-09-16,in-person
,13,14,2025-02-14,in-person
,10,142,2025-04-26,email
445.0,16,134,2025-03-27,in-person
100.0,3,34,2025-07-25,in-person
371.0,11,114,2025-09-23,email
227.0,10,68,2025-03-11,virtual
230.0,10,68,10/17/2025,in-person
97.0,3,34,2025-11-06,virtual
106.0,3,35,2025-12-11,in-person
535.0,3,167,2025-02-12,in-person
547.0,3,170,12/24/2025,email
,11,114,2025-08-20,in-person
177.0,3,58,2025-09-11,in-person
333.0,14,105,2025-01-12,in-person
31.0,3,8,10/01/2025,in-person
82.0,11,30,2025-04-15,
30.0,4,7,2025-09-17,virtual
514.0,17,161,09/13/2025,email
,9,165,2025-12-26,email
142.0,13,48,2025-09-15,
50.0,11,13,,in-person
199.0,18,62,2025-04-17,in-person
521.0,15,164,2025-06-10,email
338.0,3,107,2025-12-01,in-person
236.0,3,71,2025-11-06,in-person
115.0,11,39,2025-07-23,in-person
466.0,10,142,,in-person
126.0,18,43,2025-04-10,in-person
281.0,3,87,2025-06-27,in-person
188.0,12,60,2025-10-18,in-person
525.0,15,164,,in-person
331.0,11,104,2025-09-28,virtual
439.0,18,132,2025-10-21,in-person
357.0,3,112,2025-11-02,in-person
117.0,3,40,2025-10-18,in-person
360.0,3,112,2025-04-09,in-person
620.0,3,186,2025-12-23,in-person
297.0,4,92,2025-01-26,in-person
5.0,6,1,2025-10-09,in-person
486.0,19,151,01/28/2025,virtual
260.0,15,78,2025-06-17,email
628.0,11,190,2025-02-21,in-person
180.0,3,58,2025-02-27,email
169.0,10,56,2025-03-19,in-person
,14,139,2025-09-04,
313.0,18,98,2025-08-11,virtual
71.0,16,24,2025-03-13,
512.0,5,159,2025-03-08,email
330.0,11,104,2025-10-04,in-person
361.0,3,112,2025-07-04,in-person
33.0,3,8,2025-02-25,in-person
246.0,19,72,06/24/2025,email
610.0,11,184,2025-09-07,virtual
158.0,3,54,2025-09-26,in-person
189.0,12,60,2025-04-08,email
506.0,19,157,12/25/2025,virtual
446.0,16,134,,email
141.0,13,48,12/17/2025,in-person
66.0,16,21,2025-08-06,virtual
120.0,3,40,2025-12-04,virtual
531.0,8,166,2025-12-23,virtual
563.0,3,175,2025-09-04,in-person
172.0,10,56,,in-person
472.0,3,145,2025-01-12,in-person
148.0,11,52,2025-02-01,in-person
,12,91,2025-03-27,email
605.0,11,184,2025-03-23,in-person
18.0,11,3,05/10/2025,virtual
267.0,3,82,2025-07-13,in-person
493.0,8,154,2025-07-27,in-person
644.0,11,195,2025-03-24,email
483.0,3,149,05/27/2025,virtual
44.0,3,11,09/25/2025,email
621.0,3,187,2025-08-18,email
83.0,10,31,2025-06-06,virtual
,11,178,2025-09-05,email
522.0,15,164,2025-11-23,virtual
135.0,11,47,2025-12-16,in-person
585.0,11,178,2025-10-07,virtual
208.0,10,64,2025-12-11,virtual
530.0,8,166,2025-02-10,in-person
58.0,16,18,2025-07-19,email
306.0,13,94,2025-09-08,email
80.0,3,26,2025-12-08,in-person
568.0,3,176,2025-10-16,
78.0,3,26,2025-11-08,in-person
429.0,16,128,2025-10-24,in-person
402.0,11,122,02/08/2025,virtual
499.0,15,156,2025-06-21,email
210.0,10,64,2025-10-13,in-person
,5,159,2025-10-11,virtual
476.0,16,146,2025-03-27,virtual
17.0,11,2,2025-12-28,in-person
204.0,10,64,2025-08-11,
529.0,9,165,2025-08-05,virtual
312.0,18,98,2025-02-03,email
361.0,3,112,2025-07-04,in-person
278.0,5,86,2025-05-04,in-person
275.0,19,85,2025-02-23,in-person
79.0,3,26,2025-01-01,virtual
36.0,3,8,2025-12-23,in-person
